applist,cri,cric,cricbuzz,cricguru,crick,cricke,cricket,GETX,goog,grt,jntuk,joke,jokes,lovestory,message,monitor,news,omegle,score,scr,smsbox,smsfun,t20,TA2012011107,triv,VTU,vturesult,wikipedia,word
28,504,10,10,1,1,0,153,0,0,71,3,12,9,38,27,0,7,2,130,0,322,12,55,2853,0,0,0,6,0
0,3,37,22,0,0,0,307,0,215,3,0,86,1493,0,53,0,152,7,9,0,579,0,0,0,0,369,139,144,71
2,913,0,102,9,1,15,6715,0,2,0,3,0,16,5,0,0,11,2,7,0,0,0,5,1,0,0,0,0,2
0,3,44,1044,0,0,0,1207,0,11,0,3,9,678,31,69,0,12,47,28,2,1188,38,0,0,0,0,2,15,17
0,18,561,3186,0,2,2,1114,1,0,4,1,1,253,1,19,0,11,0,52,0,56,1,55,0,2,0,0,1,0
0,760,0,1,0,0,31,6772,0,0,0,0,9,63,2,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0
0,83,0,13,0,0,0,5847,0,3,0,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
0,10,7,6217,6,24,2,824,0,0,0,0,0,0,1,0,0,22,0,9,0,0,0,154,0,0,0,4,4,0
6,0,1,3404,16,0,0,142,0,6,2,2,5,35,70,38,0,221,1,1,0,249,12,1,0,1,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10249,0,0,0,0,0,0,0,0,0,0,0,0,0
0,229,11,49,0,0,6,3913,0,0,0,1,0,0,3,11,0,0,0,24,448,0,0,0,0,0,0,0,0,20
0,2850,0,672,0,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
2,154,2,5161,0,0,0,84,0,13,0,0,0,2,2,2,0,1,0,4,0,14,0,0,86,3,0,2,3,4
14,1204,152,468,0,8,1,1788,2,1,0,6,45,872,15,38,0,338,1,121,3,1780,13,0,0,8,0,3,15,4
0,41,10,4998,0,0,0,168,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,2,0,5,0,1,3671,3277,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,18,0,1,0,0,0,1228,0,165,0,0,0,1890,0,21,0,74,17,3,0,345,0,0,0,0,0,0,13,114
6,9,3,175,0,0,0,490,0,1,0,0,85,190,54,121,0,342,22,24,0,1756,12,26,1,2,0,0,2,1104
3,2523,0,19,2,11,5,1585,0,0,0,0,0,0,66,16,0,5,0,7,0,21,0,8,0,0,0,1,0,0
28,414,3,12,0,0,0,20,0,53,11,3,4,5,39,32,0,23,292,6,0,1661,10,6,121,16,1052,273,63,84
8,3,16,978,0,0,1,1591,0,4,0,33,0,16,50,50,0,56,21,9,0,51,0,0,0,1883,2,17,31,2
0,677,0,9,0,0,20,3640,0,0,0,0,0,1,0,0,0,64,1,2,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,5,4213,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,31,17,338,0,0,0,574,190,14,0,2,26,2206,42,39,0,218,46,90,4,2125,58,0,0,0,0,2,55,78
0,1381,0,0,0,1,0,4927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
0,0,0,3950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,2,5,0,0,1,436,0,2,1,0,42,1786,7,17,0,12,2,0,0,2828,2,0,0,0,0,8,0,1
0,3591,3,3,2,5,5,935,0,0,0,0,1,0,0,0,0,3,0,12,0,0,0,103,0,1,0,0,0,1
0,562,79,2665,0,2,0,11573,0,0,0,0,0,0,0,0,0,1,0,10,775,0,0,0,0,0,0,2,26,1
4,0,6,314,0,0,0,22,0,0,7,1,20,330,117,14,0,29,524,8,0,69,39,0,2019,0,0,0,3,1
0,2157,0,15,0,0,0,1124,0,0,0,0,0,0,0,0,0,1,0,1668,0,0,0,17,0,0,0,0,3,0
0,288,0,5297,0,0,0,1851,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,13,0,0,0,0,0,0
0,100,0,2058,0,0,0,3564,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0
1,48,0,0,3,0,0,1977,0,3,0,0,42,505,32,39,0,20,0,11,0,1232,0,0,0,0,4,227,0,250
0,363,28,2171,0,9,22,1173,0,0,0,0,0,3,7,0,0,0,0,0,0,9,2,4,0,0,0,0,0,0
7,502,23,31,0,0,0,908,0,1,0,3,5,118,10,20,0,7,1549,2,0,512,32,0,395,1,2,258,6,2
6,17,99,1828,0,0,0,2272,0,0,0,2,0,388,3,29,0,102,12,36,0,160,11,17,0,0,0,22,5,0
0,0,0,1521,23,0,1,4401,0,1,0,0,4,60,0,0,0,25,0,7,0,1,0,0,0,0,0,3,2,2
0,1929,0,0,0,69,0,1937,0,2,0,0,0,4,0,2,0,11,0,19,0,1,0,1,0,2,0,0,0,0
0,6,0,0,1,0,1,4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,135,0,1142,0,0,0,2052,0,0,0,0,0,189,3,3,0,3,0,309,0,1,0,4,0,0,0,0,0,0
0,6,0,3620,0,0,2,2368,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0
0,1,0,2024,0,0,0,1896,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,2,47,0,0,0,0,8669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,120,393,3699,4,0,1,2753,0,3,4,0,3,55,56,25,0,106,3,496,0,126,21,30,9,0,0,0,2,15
47,210,187,129,114,0,0,188,1,9,0,7,81,1159,18,15,0,17,31,3,0,557,36,80,138,2,0,0,32,19
